name,geek.rating,num.voter,release.year,community,playing.time,age,weight
Pandemic Legacy: Season 1,8.486,17803,2015,3,60,13,2.81
Village,7.419,13857,2011,3,75,12,3.07
The Pillars of the Earth,7.181,13174,2006,3,105,12,2.84
K2,6.912,6502,2010,2.5,60,13,2.28
AquaSphere,7.032,4248,2014,3,100,12,3.68
Mexica,6.807,3427,2002,3,90,10,2.76
13 Days: The Cuban Missile Crisis,6.687,1103,2016,2,37.5,10,2.41
Titan,6.599,3577,1980,4,135,12,3.46
Fabled Fruit,6.529,1416,2016,2.5,22.5,8,1.55
Qu?bec ,6.456,1239,2011,3.5,75,13,2.98
Fjords ,6.393,2683,2005,2,30,8,1.72
Lifeboats,6.346,2997,1993,4.5,90,12,1.8
Fugitive,6.291,647,2017,2,12.5,10,1.71
Caesar & Cleopatra,6.245,3849,1997,2,60,10,1.91
Magic: The Gathering ? Arena of the Planeswalkers,6.202,1569,2015,3.5,60,10,2.29
Rheinl?nder,6.162,1401,1999,4,67.5,12,2.43
Dimension,6.125,804,2014,2.5,30,8,1.38
Australia,6.086,1298,2005,3.5,75,10,2.42
Canterbury,6.055,549,2013,3,90,10,3.1
Mystery Rummy: Murders in the Rue Morgue,6.023,701,1999,3,30,8,1.7
Mutant Meeples,5.995,641,2012,4.5,45,8,2.49
Axis & Allies: Guadalcanal,5.967,570,2007,2,120,10,2.57
The King's Abbey,5.943,385,2016,3,135,12,3.24
Rolling America,5.922,613,2015,50,15,8,1.71
Vino,5.902,641,1999,4.5,90,12,2.98
Roll For It!,5.883,1382,2011,3,30,8,1.06
Paradox,5.863,247,2016,3,80,10,2.47
Dark Souls: The Board Game,5.844,469,2017,2.5,105,14,3.26
RAN ,5.826,181,2007,3,240,12,3.73
New Salem,5.813,396,2015,5.5,37.5,14,1.59
Xanad?,5.798,324,2012,4,55,13,2.19
Fastrack,5.782,359,2008,2,10,5,1
Magic: The Gathering ? Arena of the Planeswalkers: Shadows over Innistrad,5.767,182,2016,3,60,10,2.4
Sheep & Thief,5.742,253,2014,3,30,10,1.68
Starfire,5.731,245,1979,2.5,30,10,2.6
Eastern Front Tank Leader,5.72,194,1986,2,90,12,2.93
Koi Pond: A Coy Card Game,5.71,165,2013,3,20,10,1.89
Greedy Greedy Goblins,5.701,253,2016,3,30,14,2
Razzia,5.694,276,1992,5.5,30,12,1.43
Exceed: Red Horizon - Eva & Kaden vs. Miska & lilly,5.686,69,2016,2,20,12,2.4
Victory in Normandy,5.679,123,1992,1.5,300,14,2.46
Five Crowns,5.671,1463,1996,4.5,30,8,1.28
Snatch,5.666,234,2001,6,45,8,1.76
The Game of Y,5.659,94,1960,2,20,10,2.75
Wings of Glory : WW2 Rules and Accessories Pack,5.654,92,2013,55.5,45,8,2.67
Spookies,5.647,214,2015,3.5,30,8,1.3
Cranium Cariboo,5.642,319,1998,3,20,4,1.05
Inside,5.637,163,2007,2,10,8,1.92
Triovision,5.632,163,2008,3.5,20,7,1.35
Linkee,5.627,171,2012,101,30,14,1
Yacht Race,5.622,89,1960,4,60,12,2
Final Touch,5.617,144,2016,3,22.5,8,1.2
Omen : Edge of the Aegean,5.613,48,2016,2,25,10,2
Liebe & Intrige,5.609,245,2007,3,45,10,1.76
Wrasslin,5.605,348,1990,9,45,10,1.54
Booty,5.601,75,2015,4.5,60,10,2.5
JENA!,5.598,89,1996,2.5,300,12,2.84
Schildi Schildkrote,5.595,97,2004,3,5,4,1.08
Kessdrow,5.591,105,2005,4,60,8,1.85
Namibia,5.588,114,2010,3.5,120,12,3.25
Castle Merchants,5.586,331,2005,3,45,10,1.94
Pulp Alley,5.583,33,2012,2,30,12,2.33
Rok 1920,5.58,40,1995,2.5,120,12,3.8
"Agricola, Master of Britain",5.578,38,2016,1,75,14,3
Vs System 2PCG: A-Force,5.576,31,2015,3,60,10,1.8
Alien Menace,5.574,73,2011,2,30,12,2
Invasion of the Air-eaters,5.572,106,1979,2,90,10,1.93
In Security,5.569,84,2014,4.5,20,8,1.14
String Safari,5.567,101,2013,4.5,30,10,1.44
Battle Scenes,5.565,58,2013,2,30,7,2
Chaos Arena,5.564,55,1992,2,30,10,2.4
Weopns and Warriors: Castle Combat Set,5.561,388,1993,2,30,7,1.27
Shinoni: War of Clans,5.559,140,2012,4,20,12,1.44
Who stole Ed's Pants?,5.557,280,2001,3.5,60,10,1.53
Twilight Squabble,5.555,169,2016,2,12.5,14,1
SherCo Baseball,5.553,43,2016,1.5,60,8,2.33
Murder in Greenrock Village Theatre,5.552,47,2009,1,30,12,2.75
Makruk,5.55,36,1998,2,60,8,3.75
Stratego Fortress,5.549,46,2007,2,45,8,3
Junior Labyrinth,5.547,398,1995,3,15,5,1.21
Flip 9,5.545,72,2014,1,4,4,1.5
Mai '68 Le jeu,5.544,32,1980,3,60,10,2.5
Blindes Huhn,5.542,97,2007,4,30,10,1.64
"The Wilderness Campaign: Lee vs. Grant, 1864",5.54,36,1972,2,240,12,2.44
Star Wars: Attack of the Clones Card Game,5.539,94,2002,3.5,45,8,1.21
August Fury,5.537,33,1990,2,360,14,3.43
GridIron Master,5.535,44,2007,2,120,10,3
Coin Quest,5.534,32,2016,3.5,30,10,2
"Here, Fishy, Fishy!",5.532,65,2012,2.5,40,2,1
Scrabble Trickster,5.531,53,2010,3,35,10,2.33
The Journeys of Paul,5.53,133,1990,3.5,120,10,1.67
Quacksalbe,5.528,33,1998,4,30,14,3
Teseeract,5.527,40,2015,3,25,8,2
Az Ezust-to kincse,5.526,34,1986,4,45,12,2.33
Azuma,5.524,54,1992,4.5,30,8,1
James Clavell's Tai-Pan,5.523,57,1981,3,120,12,2.25
Hide and Eeek!,5.522,41,2010,4,15,8,1.4
Knots,5.52,389,1991,2,20,10,2
The Fall of Rome,5.519,130,1973,1,90,12,2.59
Button Up!,5.517,113,2012,2,15,8,1.14
Squish'Em!: Fantasy,5.516,33,2015,3,15,8,1.52
Sailor Moon CCG,5.514,46,2000,2,20,10,2
Mission to Mars 2049,5.513,13,2016,3,77.5,9,2
Hunting Party,5.511,80,2011,3.5,30,12,2
The Godfather Game,5.51,53,1971,3,90,12,2.5
godsfire,5.508,96,1976,8.5,300,12,3.27
Hold Your Breath!?,5.507,122,2014,3,20,6,1.5
Alfapet,5.506,336,1994,3,60,10,2
Blood and Iron,5.504,35,1990,2,300,12,2.71
Sanctuary,5.502,246,1982,3.5,120,12,1.86
Legend of Heroes ,5.501,462,2014,4,75,10,2.58
Saratoga: 1777?,5.499,33,1974,2,90,12,2.67
SET Junior,5.497,30,2012,3,15,5,1
Saludos Amigos!?,5.495,72,1996,5.5,60,11,1.88
Fanhunter: Las Monta?as de la Locura ? Electric Boogaloo,5.494,38,2013,3,30,10,1.5
Great Western Railway Game,5.492,36,1985,4,90,8,1
Hot Potato,5.49,38,2011,6,30,9,1
City States of Arklyrell,5.488,34,1983,3,120,10,2.5
Battle of Buena Vista,5.485,33,1996,2,90,12,2.86
Monopoly: Nintendo Collector's Edition,5.483,84,2010,4,120,8,1.71
Star Wars: Angriff der Rebellen?,5.48,48,2011,3,20,7,1
Stacrobats,5.478,134,1970,2.5,10,5,1
Camper Tour,5.474,50,2007,3,30,14,1.33
Avalon Hill Game Company's Game of Trivia,5.472,39,1981,4,120,12,2
The Apprentice Game,5.468,35,2005,2,60,12,1.2
Trivial Pursuit: Disney ? The Animated Picture Edition,5.465,87,1999,17,30,6,1.57
Fighting Fantasy Battle Cards,5.46,36,1993,2,10,10,3.5
Blue Marble,5.456,59,1982,3,90,8,1.43
Holy War,5.451,90,1979,2,90,12,2.07
UNO Dice,5.442,100,1987,4,20,7,1.13
Figaro,5.434,327,2006,4.5,30,8,1.11
Vapor's Gambit,5.425,99,2004,4,20,6,1.8
The Game of Life: A Jedi's Path,5.414,372,2002,3,60,9,1.35
Stargate SG-1,5.398,93,2004,4,120,10,1.92
Jumbo Jet,5.37,188,1975,4,240,10,1.67
Pass-out,5.318,102,1962,4,240,18,1.13
The Oregon Trail Card Game,5.139,830,2016,4,36.5,12,1.07
